Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Salvador Perez,Ben Lively,Right,Home,4,Right,5.83,0.22,0.21,0.5,0.22
Paul DeJong,Ben Lively,Right,Home,5,Right,5.83,0.2,0.21,0.33,0.21
MJ Melendez,Ben Lively,Right,Home,6,Left,5.83,0.21,0.19,0.4,0.21
Freddy Fermin,Ben Lively,Right,Home,7,Right,5.83,0.27,0.21,0.33,0.24
Maikel Garcia,Ben Lively,Right,Home,8,Right,5.83,0.21,0.21,0.5,0.22
Kyle Isbel,Ben Lively,Right,Home,9,Left,5.83,0.22,0.19,0.5,0.21
Isiah Kiner-Falefa,Shota Imanaga,Left,Away,1,Right,5.83,0.22,0.17,0,0.19
Bryan Reynolds,Shota Imanaga,Left,Away,2,Both,5.83,0.25,0.17,0.33,0.21
Nick Gonzales,Shota Imanaga,Left,Away,3,Right,5.83,0.31,0.17,0.0,0.23
Andrew McCutchen,Shota Imanaga,Left,Away,4,Right,5.83,0.21,0.17,0.0,0.18
Oneil Cruz,Shota Imanaga,Left,Away,5,Left,5.83,0.25,0.16,0,0.21
Connor Joe,Shota Imanaga,Left,Away,6,Right,5.83,0.2,0.17,0.0,0.18
Bryan De La Cruz,Shota Imanaga,Left,Away,7,Right,5.83,0.23,0.17,0.0,0.2
Jared Triolo,Shota Imanaga,Left,Away,8,Right,5.83,0.18,0.17,0.33,0.18
Henry Davis,Shota Imanaga,Left,Away,9,Right,5.83,0.18,0.17,0,0.17
Ian Happ,Domingo German,Right,Home,1,Both,nan,0.24,0.11,0.0,0.17
Michael Busch,Domingo German,Right,Home,2,Left,nan,0.19,0.1,0.0,0.14
Seiya Suzuki,Domingo German,Right,Home,3,Right,nan,0.25,0.12,0.75,0.2
Cody Bellinger,Domingo German,Right,Home,4,Left,nan,0.21,0.1,0.0,0.15
Isaac Paredes,Domingo German,Right,Home,5,Right,nan,0.16,0.12,0.0,0.14
Nico Hoerner,Domingo German,Right,Home,6,Right,nan,0.23,0.12,0.0,0.17
Dansby Swanson,Domingo German,Right,Home,7,Right,nan,0.22,0.12,0.25,0.17
Pete Crow-Armstrong,Domingo German,Right,Home,8,Left,nan,0.23,0.1,0.5,0.17
Miguel Amaya,Domingo German,Right,Home,9,Right,nan,0.29,0.12,1.0,0.22
Gleyber Torres,Nathan Eovaldi,Right,Away,1,Right,5.83,0.23,0.2,0.21,0.21
Juan Soto,Nathan Eovaldi,Right,Away,2,Left,5.83,0.21,0.22,0.33,0.22
Aaron Judge,Nathan Eovaldi,Right,Away,3,Right,5.83,0.24,0.2,0.37,0.25
Austin Wells,Nathan Eovaldi,Right,Away,4,Left,5.83,0.22,0.22,0.5,0.22
Giancarlo Stanton,Nathan Eovaldi,Right,Away,5,Right,5.83,0.21,0.2,0.3,0.22
Jazz Chisholm Jr,Nathan Eovaldi,Right,Away,6,Left,5.83,0.29,0.22,0.25,0.25
Anthony Rizzo,Nathan Eovaldi,Right,Away,7,Left,5.83,0.26,0.22,0.35,0.25
Anthony Volpe,Nathan Eovaldi,Right,Away,8,Right,5.83,0.26,0.2,0.0,0.22
Alex Verdugo,Nathan Eovaldi,Right,Away,9,Left,5.83,0.22,0.22,0.12,0.21
Marcus Semien,Marcus Stroman,Right,Home,1,Right,5.83,0.2,0.22,0.35,0.23
Corey Seager,Marcus Stroman,Right,Home,2,Left,5.83,0.27,0.23,0.23,0.25
Josh Smith,Marcus Stroman,Right,Home,3,Left,5.83,0.23,0.23,0.25,0.23
Adolis Garcia,Marcus Stroman,Right,Home,4,Right,5.83,0.2,0.22,0.0,0.2
