Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Nick Fortes,Nationals,Home,9,26,5,194,49,MacKenzie Gore,Left,Right,3,1,75.0,14,129.0,25,259.0,56,617.0,158,260,65,463.0,116,50,17,6.0,29.0
Jarren Duran,Mets,Away,1,21,7,238,44,Tylor Megill,Right,Left,0,0,429.0,122,329.0,87,628.0,168,231.0,50,145,29,117.0,26,25,5,20.0,69.0
Wilyer Abreu,Mets,Away,2,4,1,238,44,Tylor Megill,Right,Left,0,0,316.0,81,180.0,42,371.0,90,231.0,50,145,29,117.0,26,25,5,10.0,44.0
Tyler O'Neill,Mets,Away,3,23,8,238,44,Tylor Megill,Right,Right,2,1,256.0,53,204.0,51,395.0,88,231.0,50,145,29,114.0,24,25,5,6.0,47.0
Rafael Devers,Mets,Away,4,73,14,238,44,Tylor Megill,Right,Left,0,0,336.0,89,281.0,66,533.0,132,231.0,50,145,29,117.0,26,25,5,,
Triston Casas,Mets,Away,5,13,3,238,44,Tylor Megill,Right,Left,0,0,116.0,26,94.0,20,165.0,36,231.0,50,145,29,117.0,26,25,5,12.0,63.0
Masataka Yoshida,Mets,Away,6,14,3,238,44,Tylor Megill,Right,Left,0,0,258.0,75,178.0,45,353.0,92,231.0,50,145,29,117.0,26,25,5,12.0,53.0
Connor Wong,Mets,Away,7,7,1,238,44,Tylor Megill,Right,Right,0,0,272.0,70,220.0,58,409.0,106,231.0,50,145,29,114.0,24,25,5,,
Enmanuel Valdez,Mets,Away,8,3,0,238,44,Tylor Megill,Right,Left,0,0,156.0,35,98.0,15,189.0,38,231.0,50,145,29,117.0,26,25,5,,
Ceddanne Rafaela,Mets,Away,9,9,2,238,44,Tylor Megill,Right,Right,0,0,366.0,92,258.0,65,504.0,122,231.0,50,145,29,114.0,24,25,5,,
Francisco Lindor,Red Sox,Home,1,31,10,226,42,Tanner Houck,Right,Both,0,0,470.0,115,308.0,72,630.0,155,684.0,146,291,60,684.0,146,29,7,21.0,64.0
Brandon Nimmo,Red Sox,Home,2,37,4,226,42,Tanner Houck,Right,Left,0,0,426.0,77,281.0,49,566.0,111,684.0,146,291,60,363.0,69,29,7,11.0,57.0
Mark Vientos,Red Sox,Home,3,11,3,226,42,Tanner Houck,Right,Right,0,0,246.0,56,178.0,44,356.0,92,684.0,146,291,60,321.0,77,29,7,15.0,55.0
Pete Alonso,Red Sox,Home,4,39,9,226,42,Tanner Houck,Right,Right,0,0,450.0,98,290.0,63,596.0,128,684.0,146,291,60,321.0,77,29,7,12.0,63.0
Jesse Winker,Red Sox,Home,5,49,4,226,42,Tanner Houck,Right,Left,4,1,359.0,85,207.0,50,461.0,106,684.0,146,291,60,363.0,69,29,7,11.0,37.0
Starling Marte,Red Sox,Home,6,40,12,226,42,Tanner Houck,Right,Right,2,0,217.0,51,153.0,36,307.0,78,684.0,146,291,60,321.0,77,29,7,,
Jose Iglesias,Red Sox,Home,7,25,4,226,42,Tanner Houck,Right,Right,0,0,127.0,33,76.0,26,199.0,57,684.0,146,291,60,321.0,77,29,7,6.0,34.0
Jeff McNeil,Red Sox,Home,8,39,12,226,42,Tanner Houck,Right,Left,0,0,350.0,76,234.0,43,462.0,101,684.0,146,291,60,363.0,69,29,7,9.0,45.0
Francisco Alvarez,Red Sox,Home,9,12,1,226,42,Tanner Houck,Right,Right,0,0,208.0,46,132.0,26,274.0,59,684.0,146,291,60,321.0,77,29,7,,
Charlie Blackmon,Braves,Away,1,72,16,212,38,Charlie Morton,Right,Left,19,4,318.0,69,217.0,41,421.0,94,579.0,128,312,70,322.0,62,23,5,7.0,46.0
Ezequiel Tovar,Braves,Away,2,32,6,212,38,Charlie Morton,Right,Right,6,1,396.0,108,297.0,76,582.0,151,579.0,128,312,70,257.0,66,23,5,13.0,59.0
Ryan McMahon,Braves,Away,3,59,10,212,38,Charlie Morton,Right,Left,13,3,377.0,79,278.0,57,551.0,120,579.0,128,312,70,322.0,62,23,5,13.0,55.0
