Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Pete Alonso,Tanner Houck,Right,Home,4,Right,0,0,450.0,98,290.0,63,596.0,128,684.0,146,291,60,321.0,77,29,7
Jesse Winker,Tanner Houck,Right,Home,5,Left,4,1,359.0,85,207.0,50,461.0,106,684.0,146,291,60,363.0,69,29,7
Starling Marte,Tanner Houck,Right,Home,6,Right,2,0,217.0,51,153.0,36,307.0,78,684.0,146,291,60,321.0,77,29,7
Jose Iglesias,Tanner Houck,Right,Home,7,Right,0,0,127.0,33,76.0,26,199.0,57,684.0,146,291,60,321.0,77,29,7
Jeff McNeil,Tanner Houck,Right,Home,8,Left,0,0,350.0,76,234.0,43,462.0,101,684.0,146,291,60,363.0,69,29,7
Francisco Alvarez,Tanner Houck,Right,Home,9,Right,0,0,208.0,46,132.0,26,274.0,59,684.0,146,291,60,321.0,77,29,7
Charlie Blackmon,Charlie Morton,Right,Away,1,Left,19,4,318.0,69,217.0,41,421.0,94,579.0,128,312,70,322.0,62,23,5
Ezequiel Tovar,Charlie Morton,Right,Away,2,Right,6,1,396.0,108,297.0,76,582.0,151,579.0,128,312,70,257.0,66,23,5
Ryan McMahon,Charlie Morton,Right,Away,3,Left,13,3,377.0,79,278.0,57,551.0,120,579.0,128,312,70,322.0,62,23,5
Brenton Doyle,Charlie Morton,Right,Away,4,Right,4,1,384.0,96,279.0,55,530.0,131,579.0,128,312,70,257.0,66,23,5
Brendan Rodgers,Charlie Morton,Right,Away,5,Right,6,3,347.0,85,238.0,51,475.0,124,579.0,128,312,70,257.0,66,23,5
Michael Toglia,Charlie Morton,Right,Away,6,Both,2,0,238.0,45,182.0,33,359.0,69,579.0,128,312,70,579.0,128,23,5
Nolan Jones,Charlie Morton,Right,Away,7,Left,4,0,156.0,29,104.0,18,234.0,44,579.0,128,312,70,322.0,62,23,5
Jordan Beck,Charlie Morton,Right,Away,8,Right,0,0,93.0,20,82.0,14,138.0,27,579.0,128,312,70,257.0,66,23,5
Drew Romo,Charlie Morton,Right,Away,9,Both,0,0,23.0,5,19.0,3,38.0,7,579.0,128,312,70,579.0,128,23,5
Michael Harris II,Bradley Blalock,Right,Home,1,Left,0,0,235.0,53,156.0,41,355.0,83,101.0,26,52,11,64.0,15,28,6
Jorge Soler,Bradley Blalock,Right,Home,2,Right,0,0,347.0,68,225.0,47,484.0,96,101.0,26,52,11,37.0,11,28,6
Marcell Ozuna,Bradley Blalock,Right,Home,3,Right,0,0,439.0,119,268.0,72,583.0,159,101.0,26,52,11,37.0,11,28,6
Matt Olson,Bradley Blalock,Right,Home,4,Left,0,0,413.0,80,261.0,56,578.0,120,101.0,26,52,11,64.0,15,28,6
Travis d'Arnaud,Bradley Blalock,Right,Home,5,Right,0,0,221.0,49,125.0,32,286.0,65,101.0,26,52,11,37.0,11,28,6
Whit Merrifield,Bradley Blalock,Right,Home,6,Right,0,0,183.0,37,136.0,25,301.0,58,101.0,26,52,11,37.0,11,28,6
Jarred Kelenic,Bradley Blalock,Right,Home,7,Left,0,0,349.0,76,203.0,47,417.0,90,101.0,26,52,11,64.0,15,28,6
Orlando Arcia,Bradley Blalock,Right,Home,8,Right,0,0,373.0,81,237.0,43,504.0,104,101.0,26,52,11,37.0,11,28,6
Gio Urshela,Bradley Blalock,Right,Home,9,Right,0,0,278.0,73,190.0,43,365.0,87,101.0,26,52,11,37.0,11,28,6
Masyn Winn,Colin Rea,Right,Away,1,Right,6,2,364.0,100,269.0,67,539.0,140,606.0,134,305,62,296.0,66,122,31
Alec Burleson,Colin Rea,Right,Away,2,Left,2,0,373.0,105,251.0,58,503.0,131,606.0,134,305,62,310.0,68,122,31
Nolan Arenado,Colin Rea,Right,Away,3,Right,10,0,412.0,105,292.0,64,547.0,135,606.0,134,305,62,296.0,66,122,31
Brendan Donovan,Colin Rea,Right,Away,4,Left,3,1,401.0,98,293.0,70,562.0,137,606.0,134,305,62,310.0,68,122,31
Paul Goldschmidt,Colin Rea,Right,Away,5,Right,10,2,420.0,91,303.0,73,565.0,129,606.0,134,305,62,296.0,66,122,31
Lars Nootbaar,Colin Rea,Right,Away,6,Left,5,2,236.0,51,171.0,40,327.0,71,606.0,134,305,62,310.0,68,122,31
Jordan Walker,Colin Rea,Right,Away,7,Right,2,0,62.0,13,63.0,14,98.0,16,606.0,134,305,62,296.0,66,122,31
Ivan Herrera,Colin Rea,Right,Away,8,Right,0,0,144.0,39,110.0,32,212.0,54,606.0,134,305,62,296.0,66,122,31
Michael Siani,Colin Rea,Right,Away,9,Left,2,1,170.0,44,138.0,31,256.0,61,606.0,134,305,62,310.0,68,122,31
Brice Turang,Sonny Gray,Right,Home,1,Left,6,2,429.0,102,251.0,46,526.0,122,592.0,127,278,66,288.0,67,29,8
Jackson Chourio,Sonny Gray,Right,Home,2,Right,2,0,340.0,87,235.0,53,475.0,123,592.0,127,278,66,304.0,60,29,8
William Contreras,Sonny Gray,Right,Home,3,Right,6,2,461.0,110,281.0,69,600.0,148,592.0,127,278,66,304.0,60,29,8
Jake Bauers,Sonny Gray,Right,Home,4,Left,6,2,268.0,43,159.0,26,298.0,51,592.0,127,278,66,288.0,67,29,8
Willy Adames,Sonny Gray,Right,Home,5,Right,18,5,450.0,112,278.0,64,597.0,135,592.0,127,278,66,304.0,60,29,8
Garrett Mitchell,Sonny Gray,Right,Home,6,Left,0,0,133.0,30,67.0,14,158.0,36,592.0,127,278,66,288.0,67,29,8
Rhys Hoskins,Sonny Gray,Right,Home,7,Right,15,4,339.0,64,200.0,37,442.0,82,592.0,127,278,66,304.0,60,29,8
