Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Bobby Witt Jr,Ben Lively,Guardians,Home,2,6,3,0,0,0,1,0,0,.500,.500,.500,1.000
Michael Massey,Ben Lively,Guardians,Home,3,5,0,0,0,0,0,0,3,.000,.167,.000,.167
Salvador Perez,Ben Lively,Guardians,Home,4,4,2,0,0,0,0,0,1,.500,.600,.500,1.100
Paul DeJong,Ben Lively,Guardians,Home,5,9,3,0,0,1,3,0,3,.333,.333,.667,1.000
MJ Melendez,Ben Lively,Guardians,Home,6,5,2,0,0,0,0,0,1,.400,.400,.400,.800
Freddy Fermin,Ben Lively,Guardians,Home,7,3,1,0,0,0,0,0,1,.333,.333,.333,.667
Maikel Garcia,Ben Lively,Guardians,Home,8,4,2,0,1,0,1,0,1,.500,.500,1.000,1.500
Kyle Isbel,Ben Lively,Guardians,Home,9,2,1,0,1,0,0,0,1,.500,.500,1.500,2.000
Isiah Kiner-Falefa,Shota Imanaga,Cubs,Away,1,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Reynolds,Shota Imanaga,Cubs,Away,2,3,1,0,0,0,0,0,0,.333,.333,.333,.667
Nick Gonzales,Shota Imanaga,Cubs,Away,3,3,0,0,0,0,0,0,1,.000,.000,.000,.000
Andrew McCutchen,Shota Imanaga,Cubs,Away,4,2,0,0,0,0,0,1,0,.000,.333,.000,.333
Oneil Cruz,Shota Imanaga,Cubs,Away,5,0,0,0,0,0,0,0,0,0,0,0,0
Connor Joe,Shota Imanaga,Cubs,Away,6,3,0,0,0,0,0,0,1,.000,.000,.000,.000
Bryan De La Cruz,Shota Imanaga,Cubs,Away,7,3,0,0,0,0,0,0,2,.000,.000,.000,.000
Jared Triolo,Shota Imanaga,Cubs,Away,8,3,1,0,0,0,0,0,2,.333,.333,.333,.667
Henry Davis,Shota Imanaga,Cubs,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Ian Happ,Domingo German,Pirates,Home,1,3,0,0,0,0,0,1,3,.000,.250,.000,.250
Michael Busch,Domingo German,Pirates,Home,2,2,0,0,0,0,0,0,1,.000,.000,.000,.000
Seiya Suzuki,Domingo German,Pirates,Home,3,4,3,0,0,1,2,0,0,.750,.750,1.500,2.250
Cody Bellinger,Domingo German,Pirates,Home,4,4,0,0,0,0,0,3,1,.000,.429,.000,.429
Isaac Paredes,Domingo German,Pirates,Home,5,4,0,0,0,0,0,3,2,.000,.429,.000,.429
Nico Hoerner,Domingo German,Pirates,Home,6,4,0,0,0,0,1,1,1,.000,.200,.000,.200
Dansby Swanson,Domingo German,Pirates,Home,7,3,1,0,0,1,4,1,1,.333,.500,1.333,1.833
Pete Crow-Armstrong,Domingo German,Pirates,Home,8,2,1,0,0,0,0,0,0,.500,.500,.500,1.000
Miguel Amaya,Domingo German,Pirates,Home,9,2,2,1,0,0,2,0,0,1.000,1.000,1.500,2.500
Gleyber Torres,Nathan Eovaldi,Rangers,Away,1,46,10,2,0,0,2,2,8,.217,.250,.261,.511
Juan Soto,Nathan Eovaldi,Rangers,Away,2,3,2,0,0,0,0,3,1,.667,.833,.667,1.500
Aaron Judge,Nathan Eovaldi,Rangers,Away,3,36,14,2,0,2,3,2,6,.389,.421,.611,1.032
Austin Wells,Nathan Eovaldi,Rangers,Away,4,2,1,1,0,0,2,0,0,.500,.500,1.000,1.500
Giancarlo Stanton,Nathan Eovaldi,Rangers,Away,5,38,12,2,0,4,11,2,13,.316,.341,.684,1.026
Jazz Chisholm Jr,Nathan Eovaldi,Rangers,Away,6,4,1,0,0,0,0,0,2,.250,.250,.250,.500
Anthony Rizzo,Nathan Eovaldi,Rangers,Away,7,25,9,4,0,2,6,1,6,.360,.407,.760,1.167
Anthony Volpe,Nathan Eovaldi,Rangers,Away,8,8,0,0,0,0,0,0,4,.000,.000,.000,.000
Alex Verdugo,Nathan Eovaldi,Rangers,Away,9,7,1,0,0,0,0,1,1,.143,.250,.143,.393
Marcus Semien,Marcus Stroman,Yankees,Home,1,17,7,0,0,0,0,3,2,.412,.500,.412,.912
Corey Seager,Marcus Stroman,Yankees,Home,2,10,3,1,0,0,1,3,2,.300,.462,.400,.862
Josh Smith,Marcus Stroman,Yankees,Home,3,3,1,0,0,0,0,1,0,.333,.600,.333,.933
Adolis Garcia,Marcus Stroman,Yankees,Home,4,3,0,0,0,0,0,2,1,.000,.400,.000,.400
Nathaniel Lowe,Marcus Stroman,Yankees,Home,5,5,1,0,0,0,0,0,2,.200,.200,.200,.400
Josh Jung,Marcus Stroman,Yankees,Home,6,5,0,0,0,0,0,0,1,.000,.000,.000,.000
Wyatt Langford,Marcus Stroman,Yankees,Home,7,2,1,0,0,0,0,0,0,.500,.500,.500,1.000
Jonah Heim,Marcus Stroman,Yankees,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Leody Taveras,Marcus Stroman,Yankees,Home,9,2,0,0,0,0,0,0,0,.000,.000,.000,.000
