Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Gio Urshela,Bradley Blalock,Right,Home,9,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Masyn Winn,Colin Rea,Right,Away,1,6,2,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Alec Burleson,Colin Rea,Right,Away,2,2,0,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Nolan Arenado,Colin Rea,Right,Away,3,10,0,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Brendan Donovan,Colin Rea,Right,Away,4,3,1,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Paul Goldschmidt,Colin Rea,Right,Away,5,10,2,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Lars Nootbaar,Colin Rea,Right,Away,6,5,2,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Jordan Walker,Colin Rea,Right,Away,7,2,0,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Ivan Herrera,Colin Rea,Right,Away,8,0,0,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Michael Siani,Colin Rea,Right,Away,9,2,1,606.0,134,76.2,62,15,296.0,66,310.0,68,30.2,31,1
Brice Turang,Sonny Gray,Right,Home,1,6,2,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Jackson Chourio,Sonny Gray,Right,Home,2,2,0,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
William Contreras,Sonny Gray,Right,Home,3,6,2,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Jake Bauers,Sonny Gray,Right,Home,4,6,2,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Willy Adames,Sonny Gray,Right,Home,5,18,5,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Garrett Mitchell,Sonny Gray,Right,Home,6,0,0,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Rhys Hoskins,Sonny Gray,Right,Home,7,15,4,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Sal Frelick,Sonny Gray,Right,Home,8,5,0,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Joey Ortiz,Sonny Gray,Right,Home,9,4,1,592.0,127,65.2,66,17,304.0,60,288.0,67,7.0,8,0
Steven Kwan,Seth Lugo,Right,Away,1,5,2,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Andres Gimenez,Seth Lugo,Right,Away,2,5,0,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Jose Ramirez,Seth Lugo,Right,Away,3,7,1,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Josh Naylor,Seth Lugo,Right,Away,4,6,2,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Jhonkensy Noel,Seth Lugo,Right,Away,5,3,0,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Kyle Manzardo,Seth Lugo,Right,Away,6,3,0,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Lane Thomas,Seth Lugo,Right,Away,7,7,1,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Bo Naylor,Seth Lugo,Right,Away,8,2,2,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Brayan Rocchio,Seth Lugo,Right,Away,9,2,0,726.0,156,88.1,80,22,348.0,70,378.0,86,28.2,36,11
Tommy Pham,Ben Lively,Right,Home,1,9,3,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Bobby Witt Jr,Ben Lively,Right,Home,2,6,3,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Michael Massey,Ben Lively,Right,Home,3,5,0,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Salvador Perez,Ben Lively,Right,Home,4,4,2,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Paul DeJong,Ben Lively,Right,Home,5,9,3,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
MJ Melendez,Ben Lively,Right,Home,6,5,2,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Freddy Fermin,Ben Lively,Right,Home,7,3,1,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Maikel Garcia,Ben Lively,Right,Home,8,4,2,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Kyle Isbel,Ben Lively,Right,Home,9,2,1,542.0,119,64.2,57,22,279.0,66,263.0,53,5.0,4,4
Isiah Kiner-Falefa,Shota Imanaga,Left,Away,1,0,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Bryan Reynolds,Shota Imanaga,Left,Away,2,3,1,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Nick Gonzales,Shota Imanaga,Left,Away,3,3,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Andrew McCutchen,Shota Imanaga,Left,Away,4,3,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Oneil Cruz,Shota Imanaga,Left,Away,5,0,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
Connor Joe,Shota Imanaga,Left,Away,6,3,0,590.0,131,76.0,66,7,473.0,107,117.0,24,7.0,2,1
